gene.id,gene.name,function
ENSG00000182330.10,PRAMEF8,protein coding
ENSG00000237700.2,PRAMEF33,protein coding
ENSG00000204501.7,PRAMEF15,protein coding
ENSG00000204481.7,PRAMEF14,protein coding
ENSG00000204480.7,PRAMEF19,protein coding
ENSG00000204479.4,PRAMEF17,protein coding
ENSG00000204478.9,PRAMEF20,protein coding
ENSG00000162494.5,LRRC38,protein coding
ENSG00000162493.16,PDPN,protein coding
ENSG00000116731.22,PRDM2,protein coding
ENSG00000189337.16,KAZN,protein coding
ENSG00000171729.13,TMEM51,protein coding
ENSG00000142621.19,FHAD1,protein coding
ENSG00000142634.12,EFHD2,protein coding
ENSG00000162438.11,CTRC,protein coding
ENSG00000142615.7,CELA2A,protein coding
ENSG00000215704.9,CELA2B,protein coding
ENSG00000132906.17,CASP9,protein coding
ENSG00000116138.12,DNAJC16,protein coding
ENSG00000116771.5,AGMAT,protein coding
ENSG00000197312.11,DDI2,protein coding
ENSG00000116786.11,PLEKHM2,protein coding
ENSG00000162461.7,SLC25A34,protein coding
ENSG00000162460.6,TMEM82,protein coding
ENSG00000162458.12,FBLIM1,protein coding
ENSG00000233954.6,UQCRHL,protein coding
ENSG00000065526.10,SPEN,protein coding
ENSG00000116809.11,ZBTB17,protein coding
ENSG00000183888.4,C1orf64,protein coding
ENSG00000173641.17,HSPB7,protein coding
ENSG00000186510.11,CLCNKA,protein coding
ENSG00000184908.17,CLCNKB,protein coding
ENSG00000185519.8,FAM131C,protein coding
ENSG00000142627.12,EPHA2,protein coding
ENSG00000142632.16,ARHGEF19,protein coding
ENSG00000132881.11,RSG1,protein coding
ENSG00000037637.10,FBXO42,protein coding
ENSG00000055070.16,SZRD1,protein coding
ENSG00000187144.11,SPATA21,protein coding
ENSG00000157191.19,NECAP2,protein coding
ENSG00000268991.2,FAM231B,protein coding
ENSG00000219481.10,NBPF1,protein coding
ENSG00000237847.2,FAM231A,protein coding
ENSG00000279132.2,FAM231C,protein coding
ENSG00000058453.16,CROCC,protein coding
ENSG00000117122.13,MFAP2,protein coding
ENSG00000159363.17,ATP13A2,protein coding
ENSG00000117118.9,SDHB,protein coding
ENSG00000117115.12,PADI2,protein coding
ENSG00000142623.9,PADI1,protein coding
ENSG00000142619.4,PADI3,protein coding
ENSG00000159339.13,PADI4,protein coding
ENSG00000276747.1,PADI6,protein coding
ENSG00000179051.13,RCC2,protein coding
ENSG00000074964.16,ARHGEF10L,protein coding
ENSG00000117148.7,ACTL8,protein coding
ENSG00000117154.11,IGSF21,protein coding
ENSG00000179023.8,KLHDC7A,protein coding
ENSG00000009709.11,PAX7,protein coding
ENSG00000179002.5,TAS1R2,protein coding
ENSG00000159423.16,ALDH4A1,protein coding
ENSG00000169991.10,IFFO2,protein coding
ENSG00000127481.14,UBR4,protein coding
ENSG00000127463.13,EMC1,protein coding
ENSG00000053372.4,MRTO4,protein coding
ENSG00000162482.4,AKR7A3,protein coding
ENSG00000053371.12,AKR7A2,protein coding
ENSG00000040487.12,PQLC2,protein coding
ENSG00000077549.17,CAPZB,protein coding
ENSG00000173436.13,MINOS1,protein coding
ENSG00000158747.13,NBL1,protein coding
ENSG00000158748.3,HTR6,protein coding
ENSG00000162542.13,TMCO4,protein coding
ENSG00000178828.6,RNF186,protein coding
ENSG00000169914.5,OTUD3,protein coding
ENSG00000188784.4,PLA2G2E,protein coding
ENSG00000188257.10,PLA2G2A,protein coding
ENSG00000127472.10,PLA2G5,protein coding
ENSG00000117215.14,PLA2G2D,protein coding
ENSG00000158786.4,PLA2G2F,protein coding
ENSG00000187980.6,PLA2G2C,protein coding
ENSG00000162543.5,UBXN10,protein coding
ENSG00000158816.15,VWA5B1,protein coding
ENSG00000162545.5,CAMK2N1,protein coding
ENSG00000090432.6,MUL1,protein coding
ENSG00000183114.7,FAM43B,protein coding
ENSG00000158825.5,CDA,protein coding
ENSG00000158828.7,PINK1,protein coding
ENSG00000244038.9,DDOST,protein coding
ENSG00000117245.12,KIF17,protein coding
ENSG00000189410.11,SH2D5,protein coding
ENSG00000127483.17,HP1BP3,protein coding
ENSG00000075151.20,EIF4G3,protein coding
ENSG00000117298.14,ECE1,protein coding
ENSG00000142794.18,NBPF3,protein coding
ENSG00000162551.13,ALPL,protein coding
ENSG00000076864.19,RAP1GAP,protein coding
ENSG00000090686.15,USP48,protein coding
ENSG00000187942.11,LDLRAD2,protein coding
ENSG00000142798.17,HSPG2,protein coding
ENSG00000219073.7,CELA3B,protein coding
ENSG00000142789.19,CELA3A,protein coding
ENSG00000070831.15,CDC42,protein coding
ENSG00000162552.14,WNT4,protein coding
ENSG00000184677.16,ZBTB40,protein coding
ENSG00000070886.11,EPHA8,protein coding
ENSG00000173372.16,C1QA,protein coding
ENSG00000159189.11,C1QC,protein coding
ENSG00000173369.15,C1QB,protein coding
ENSG00000133216.16,EPHB2,protein coding
ENSG00000215906.8,LACTBL1,protein coding
ENSG00000227868.5,C1orf234,protein coding
ENSG00000004487.15,KDM1A,protein coding
ENSG00000169641.13,LUZP1,protein coding
ENSG00000179546.4,HTR1D,protein coding
ENSG00000125944.18,HNRNPR,protein coding
ENSG00000125945.14,ZNF436,protein coding
ENSG00000204219.9,TCEA3,protein coding
ENSG00000088280.18,ASAP3,protein coding
ENSG00000007968.6,E2F2,protein coding
ENSG00000117318.8,ID3,protein coding
ENSG00000197880.8,MDS2,protein coding
ENSG00000142676.12,RPL11,protein coding
ENSG00000011007.12,ELOA,protein coding
ENSG00000057757.9,PITHD1,protein coding
ENSG00000011009.10,LYPLA2,protein coding
ENSG00000117308.14,GALE,protein coding
ENSG00000117305.14,HMGCL,protein coding
ENSG00000179163.11,FUCA1,protein coding
ENSG00000188822.7,CNR2,protein coding
ENSG00000189266.11,PNRC2,protein coding
ENSG00000188529.14,SRSF10,protein coding
ENSG00000142661.18,MYOM3,protein coding
ENSG00000142677.3,IL22RA1,protein coding
ENSG00000185436.11,IFNLR1,protein coding
ENSG00000158055.15,GRHL3,protein coding
ENSG00000001460.17,STPG1,protein coding
ENSG00000001461.16,NIPAL3,protein coding
ENSG00000117602.11,RCAN3,protein coding
ENSG00000184454.6,NCMAP,protein coding
ENSG00000133226.16,SRRM1,protein coding
ENSG00000169504.14,CLIC4,protein coding
ENSG00000020633.18,RUNX3,protein coding
ENSG00000117614.9,SYF2,protein coding
ENSG00000117616.17,RSRP1,protein coding
ENSG00000187010.19,RHD,protein coding
ENSG00000183726.10,TMEM50A,protein coding
ENSG00000188672.17,RHCE,protein coding
ENSG00000204178.9,TMEM57,protein coding
ENSG00000157978.11,LDLRAP1,protein coding
ENSG00000117643.14,MAN1C1,protein coding
ENSG00000162430.16,SELENON,protein coding
ENSG00000117640.17,MTFR1L,protein coding
ENSG00000127423.10,AUNIP,protein coding
ENSG00000182749.5,PAQR7,protein coding
ENSG00000117632.22,STMN1,protein coding
ENSG00000158006.13,PAFAH2,protein coding
ENSG00000158008.9,EXTL1,protein coding
ENSG00000158014.14,SLC30A2,protein coding
ENSG00000158022.6,TRIM63,protein coding
ENSG00000175087.9,PDIK1L,protein coding
ENSG00000197245.5,FAM110D,protein coding
ENSG00000282872.1,RP11-96L14.8,protein coding
ENSG00000236782.6,RP11-96L14.7,protein coding
ENSG00000142684.8,ZNF593,protein coding
ENSG00000142675.17,CNKSR1,protein coding
ENSG00000188782.8,CATSPER4,protein coding
ENSG00000130695.14,CEP85,protein coding
ENSG00000142669.14,SH3BGRL3,protein coding
ENSG00000158062.20,UBXN11,protein coding
ENSG00000169442.8,CD52,protein coding
ENSG00000176092.14,AIM1L,protein coding
ENSG00000176083.17,ZNF683,protein coding
ENSG00000131914.10,LIN28A,protein coding
ENSG00000117682.16,DHDDS,protein coding
ENSG00000198830.10,HMGN2,protein coding
ENSG00000117676.13,RPS6KA1,protein coding
ENSG00000117713.18,ARID1A,protein coding
ENSG00000060642.10,PIGV,protein coding
ENSG00000204160.11,ZDHHC18,protein coding
ENSG00000175793.11,SFN,protein coding
ENSG00000142751.14,GPN2,protein coding
ENSG00000198746.12,GPATCH3,protein coding
ENSG00000090273.13,NUDC,protein coding
ENSG00000131910.4,NR0B2,protein coding
ENSG00000175707.8,KDF1,protein coding
ENSG00000253368.3,TRNP1,protein coding
ENSG00000158246.7,FAM46B,protein coding
ENSG00000090020.10,SLC9A1,protein coding
ENSG00000142784.15,WDTC1,protein coding
ENSG00000186501.14,TMEM222,protein coding
ENSG00000142765.17,SYTL1,protein coding
ENSG00000142733.14,MAP3K6,protein coding
ENSG00000142748.12,FCN3,protein coding
ENSG00000174950.10,CD164L2,protein coding
ENSG00000181773.6,GPR3,protein coding
ENSG00000158195.10,WASF2,protein coding
ENSG00000126705.13,AHDC1,protein coding
ENSG00000000938.12,FGR,protein coding
ENSG00000126709.14,IFI6,protein coding
ENSG00000009780.15,FAM76A,protein coding
ENSG00000117758.13,STX12,protein coding
ENSG00000117751.17,PPP1R8,protein coding
ENSG00000130775.15,THEMIS2,protein coding
ENSG00000117748.9,RPA2,protein coding
ENSG00000130768.14,SMPDL3B,protein coding
ENSG00000158156.7,XKR8,protein coding
ENSG00000158161.15,EYA3,protein coding
ENSG00000169403.11,PTAFR,protein coding
ENSG00000126698.10,DNAJC8,protein coding
ENSG00000130770.17,ATPIF1,protein coding
ENSG00000130766.4,SESN2,protein coding
ENSG00000130772.13,MED18,protein coding
ENSG00000204138.12,PHACTR4,protein coding
ENSG00000180198.15,RCC1,protein coding
ENSG00000180098.9,TRNAU1AP,protein coding
ENSG00000120656.11,TAF12,protein coding
ENSG00000188060.7,RAB42,protein coding
ENSG00000162419.12,GMEB1,protein coding
ENSG00000198492.15,YTHDF2,protein coding
ENSG00000116329.10,OPRD1,protein coding
ENSG00000159023.19,EPB41,protein coding
ENSG00000253304.1,TMEM200B,protein coding
ENSG00000116350.16,SRSF4,protein coding
ENSG00000116353.15,MECR,protein coding
ENSG00000060656.19,PTPRU,protein coding
ENSG00000162510.5,MATN1,protein coding
ENSG00000162511.7,LAPTM5,protein coding
ENSG00000162512.15,SDC3,protein coding
ENSG00000134644.15,PUM1,protein coding
ENSG00000084628.9,NKAIN1,protein coding
ENSG00000060688.12,SNRNP40,protein coding
ENSG00000121766.15,ZCCHC17,protein coding
ENSG00000121769.7,FABP3,protein coding
ENSG00000168528.11,SERINC2,protein coding
ENSG00000142910.15,TINAGL1,protein coding
ENSG00000121764.11,HCRTR1,protein coding
ENSG00000162517.12,PEF1,protein coding
ENSG00000084636.17,COL16A1,protein coding
ENSG00000121753.12,ADGRB2,protein coding
ENSG00000134668.12,SPOCD1,protein coding
ENSG00000184007.18,PTP4A2,protein coding
ENSG00000121774.17,KHDRBS1,protein coding
ENSG00000121775.17,TMEM39B,protein coding
ENSG00000025800.13,KPNA6,protein coding
ENSG00000084652.15,TXLNA,protein coding
ENSG00000160050.14,CCDC28B,protein coding
ENSG00000160051.11,IQCC,protein coding
ENSG00000222046.2,DCDC2B,protein coding
ENSG00000160055.19,TMEM234,protein coding
ENSG00000084623.11,EIF3I,protein coding
ENSG00000183615.5,FAM167B,protein coding
ENSG00000182866.16,LCK,protein coding
ENSG00000116478.11,HDAC1,protein coding
ENSG00000175130.6,MARCKSL1,protein coding
ENSG00000162526.6,TSSK3,protein coding
ENSG00000225828.1,FAM229A,protein coding
ENSG00000160058.18,BSDC1,protein coding
ENSG00000273274.1,ZBTB8B,protein coding
ENSG00000160062.14,ZBTB8A,protein coding
ENSG00000176261.15,ZBTB8OS,protein coding
ENSG00000162521.18,RBBP4,protein coding
ENSG00000162520.14,SYNC,protein coding
ENSG00000162522.10,KIAA1522,protein coding
ENSG00000134684.10,YARS,protein coding
ENSG00000116497.17,S100PBP,protein coding
ENSG00000160097.16,FNDC5,protein coding
ENSG00000121905.9,HPCA,protein coding
ENSG00000121900.18,TMEM54,protein coding
ENSG00000116514.16,RNF19B,protein coding
ENSG00000004455.16,AK2,protein coding
ENSG00000142920.16,AZIN2,protein coding
ENSG00000116525.13,TRIM62,protein coding
ENSG00000160094.14,ZNF362,protein coding
ENSG00000184389.9,A3GALT2,protein coding
ENSG00000134686.18,PHC2,protein coding
ENSG00000121903.14,ZSCAN20,protein coding
ENSG00000121904.17,CSMD2,protein coding
ENSG00000176256.10,HMGB4,protein coding
ENSG00000142698.14,C1orf94,protein coding
ENSG00000163866.8,SMIM12,protein coding
ENSG00000189280.3,GJB5,protein coding
ENSG00000189433.5,GJB4,protein coding
ENSG00000188910.7,GJB3,protein coding
ENSG00000187513.8,GJA4,protein coding
ENSG00000116544.11,DLGAP3,protein coding
ENSG00000243749.1,TMEM35B,protein coding
ENSG00000163867.16,ZMYM6,protein coding
ENSG00000197056.9,ZMYM1,protein coding
ENSG00000116560.10,SFPQ,protein coding
ENSG00000146463.11,ZMYM4,protein coding
ENSG00000142687.17,KIAA0319L,protein coding
ENSG00000020129.15,NCDN,protein coding
ENSG00000116819.6,TFAP2E,protein coding
ENSG00000126067.11,PSMB2,protein coding
ENSG00000142686.7,C1orf216,protein coding
ENSG00000092853.13,CLSPN,protein coding
ENSG00000134698.10,AGO4,protein coding
ENSG00000092847.11,AGO1,protein coding
ENSG00000126070.19,AGO3,protein coding
ENSG00000092850.11,TEKT2,protein coding
ENSG00000116863.10,ADPRHL2,protein coding
ENSG00000171812.12,COL8A2,protein coding
ENSG00000054116.11,TRAPPC3,protein coding
ENSG00000116871.15,MAP7D1,protein coding
ENSG00000054118.13,THRAP3,protein coding
ENSG00000214193.10,SH3D21,protein coding
ENSG00000142694.6,EVA1B,protein coding
ENSG00000196182.10,STK40,protein coding
ENSG00000181817.5,LSM10,protein coding
ENSG00000116885.18,OSCP1,protein coding
ENSG00000116898.11,MRPS15,protein coding
ENSG00000119535.17,CSF3R,protein coding
ENSG00000163873.9,GRIK3,protein coding
ENSG00000163874.10,ZC3H12A,protein coding
ENSG00000163875.15,MEAF6,protein coding
ENSG00000163877.10,SNIP1,protein coding
ENSG00000163879.10,DNALI1,protein coding
ENSG00000134697.12,GNL2,protein coding
ENSG00000169218.13,RSPO1,protein coding
ENSG00000116922.14,C1orf109,protein coding
ENSG00000134690.10,CDCA8,protein coding
ENSG00000183317.16,EPHA10,protein coding
ENSG00000185090.14,MANEAL,protein coding
ENSG00000196449.3,YRDC,protein coding
ENSG00000197982.13,C1orf122,protein coding
ENSG00000188786.9,MTF1,protein coding
ENSG00000204084.12,INPP5B,protein coding
ENSG00000183431.11,SF3A3,protein coding
ENSG00000183386.9,FHL3,protein coding
ENSG00000183520.11,UTP11,protein coding
ENSG00000185668.7,POU3F1,protein coding
ENSG00000116954.7,RRAGC,protein coding
ENSG00000214114.8,MYCBP,protein coding
ENSG00000131233.9,GJA9,protein coding
ENSG00000158315.10,RHBDL2,protein coding
ENSG00000174574.15,AKIRIN1,protein coding
ENSG00000168653.10,NDUFS5,protein coding
ENSG00000127603.23,MACF1,protein coding
ENSG00000183682.7,BMP8A,protein coding
ENSG00000090621.13,PABPC4,protein coding
ENSG00000163909.7,HEYL,protein coding
ENSG00000116981.3,NT5C1A,protein coding
ENSG00000116983.12,HPCAL4,protein coding
ENSG00000084072.16,PPIE,protein coding
ENSG00000116985.11,BMP8B,protein coding
ENSG00000198754.5,OXCT2,protein coding
ENSG00000043514.15,TRIT1,protein coding
ENSG00000116990.10,MYCL,protein coding
ENSG00000168389.17,MFSD2A,protein coding
ENSG00000131236.16,CAP1,protein coding
ENSG00000131238.16,PPT1,protein coding
ENSG00000117000.8,RLF,protein coding
ENSG00000188800.5,TMCO2,protein coding
ENSG00000084073.8,ZMPSTE24,protein coding
ENSG00000049089.13,COL9A2,protein coding
ENSG00000084070.11,SMAP2,protein coding
ENSG00000187801.14,ZFP69B,protein coding
ENSG00000187815.9,ZFP69,protein coding
ENSG00000164002.11,EXO5,protein coding
ENSG00000117010.15,ZNF684,protein coding
ENSG00000117016.9,RIMS3,protein coding
ENSG00000066136.20,NFYC,protein coding
ENSG00000117013.14,KCNQ4,protein coding
ENSG00000179862.6,CITED4,protein coding
ENSG00000171793.13,CTPS1,protein coding
ENSG00000171790.15,SLFNL1,protein coding
ENSG00000010803.16,SCMH1,protein coding
ENSG00000204060.6,FOXO6,protein coding
ENSG00000127129.9,EDN2,protein coding
ENSG00000127124.14,HIVEP3,protein coding
ENSG00000044012.3,GUCA2B,protein coding
ENSG00000197273.3,GUCA2A,protein coding
ENSG00000198815.8,FOXJ3,protein coding
ENSG00000177181.14,RIMKLA,protein coding
ENSG00000066185.12,ZMYND12,protein coding
ENSG00000127125.8,PPCS,protein coding
ENSG00000186409.14,CCDC30,protein coding
ENSG00000171960.10,PPIH,protein coding
ENSG00000065978.18,YBX1,protein coding
ENSG00000164007.10,CLDN19,protein coding
ENSG00000117385.15,P3H1,protein coding
ENSG00000164008.14,C1orf50,protein coding
ENSG00000274386.5,TMEM269,protein coding
ENSG00000177868.11,SVBP,protein coding
ENSG00000164010.13,ERMAP,protein coding
ENSG00000164011.17,ZNF691,protein coding
ENSG00000117394.20,SLC2A1,protein coding
ENSG00000186973.10,FAM183A,protein coding
ENSG00000117395.12,EBNA1BP2,protein coding
ENSG00000243710.7,CFAP57,protein coding
ENSG00000179178.10,TMEM125,protein coding
ENSG00000253313.5,C1orf210,protein coding
ENSG00000066056.13,TIE1,protein coding
ENSG00000117400.16,MPL,protein coding
ENSG00000117399.13,CDC20,protein coding
ENSG00000066322.14,ELOVL1,protein coding
ENSG00000159479.16,MED8,protein coding
ENSG00000198198.15,SZT2,protein coding
ENSG00000142949.16,PTPRF,protein coding
ENSG00000066135.12,KDM4A,protein coding
ENSG00000126091.19,ST3GAL3,protein coding
ENSG00000117407.16,ARTN,protein coding
ENSG00000117408.10,IPO13,protein coding
ENSG00000132768.13,DPH2,protein coding
ENSG00000117410.13,ATP6V0B,protein coding
ENSG00000117411.16,B4GALT2,protein coding
ENSG00000159214.12,CCDC24,protein coding
ENSG00000196517.11,SLC6A9,protein coding
ENSG00000171872.4,KLF17,protein coding
ENSG00000283039.1,KLF18,protein coding
ENSG00000178028.13,DMAP1,protein coding
ENSG00000117419.14,ERI3,protein coding
ENSG00000187147.17,RNF220,protein coding
ENSG00000126106.13,TMEM53,protein coding
ENSG00000198520.10,C1orf228,protein coding
ENSG00000142945.12,KIF2C,protein coding
ENSG00000142937.11,RPS8,protein coding
ENSG00000142959.4,BEST4,protein coding
ENSG00000173846.12,PLK3,protein coding
ENSG00000188396.3,TCTEX1D4,protein coding
ENSG00000222009.8,BTBD19,protein coding
ENSG00000117425.13,PTCH2,protein coding
ENSG00000070785.16,EIF2B3,protein coding
ENSG00000126107.14,HECTD3,protein coding
ENSG00000126088.13,UROD,protein coding
ENSG00000162415.6,ZSWIM5,protein coding
ENSG00000186603.5,HPDL,protein coding
ENSG00000132781.17,MUTYH,protein coding
ENSG00000132773.11,TOE1,protein coding
ENSG00000070759.16,TESK2,protein coding
ENSG00000280670.2,CCDC163,protein coding
ENSG00000132763.14,MMACHC,protein coding
ENSG00000117450.13,PRDX1,protein coding
ENSG00000117448.13,AKR1A1,protein coding
ENSG00000132780.16,NASP,protein coding
ENSG00000159588.14,CCDC17,protein coding
ENSG00000159592.10,GPBP1L1,protein coding
ENSG00000159596.6,TMEM69,protein coding
ENSG00000197429.10,IPP,protein coding
ENSG00000086015.20,MAST2,protein coding
ENSG00000117461.14,PIK3R3,protein coding
ENSG00000117472.9,TSPAN1,protein coding
ENSG00000250719.1,RP11-322N21.2,protein coding
ENSG00000085998.13,POMGNT1,protein coding
ENSG00000171357.5,LURAP1,protein coding
ENSG00000085999.11,RAD54L,protein coding
ENSG00000132128.16,LRRC41,protein coding
ENSG00000173660.11,UQCRH,protein coding
ENSG00000117481.10,NSUN4,protein coding
ENSG00000117480.15,FAAH,protein coding
